1,FEC ID,STATE,STATE ABBREVIATION,LAST NAME;  FIRST,TOTAL VOTES,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,WINNER INDICATOR
2,P80001571,Alabama,AL,Trump; Donald J.,,1318255,,0.62,W
3,P00003392,Alabama,AL,Clinton; Hillary,,729547,,0.34,
4,P20002671,Alabama,AL,Johnson; Gary,,44467,,0.02,
5,n/a,Alabama,AL,Scattered; ,,21712,,0.01,
6,P20003984,Alabama,AL,Stein; Jill,,9391,,0,
7,n/a,Alabama,AL,,Total State Votes:,,2123372,,
8,n/a,Alabama,AL,,,,,,
9,P80001571,Alaska,AK,Trump; Donald J.,,163387,,0.51,W
10,P00003392,Alaska,AK,Clinton; Hillary,,116454,,0.37,
11,P20002671,Alaska,AK,Johnson; Gary,,18725,,0.06,
12,n/a,Alaska,AK,Scattered,,9201,,0.03,
13,P20003984,Alaska,AK,Stein; Jill,,5735,,0.02,
14,P60021102,Alaska,AK,Castle; Darrell L.,,3866,,0.01,
15,P60016342,Alaska,AK,De La Fuente; Roque,,1240,,0,
16,n/a,Alaska,AK,,Total State Votes:,,318608,,
17,n/a,Alaska,AK,,,,,,
18,P80001571,Arizona,AZ,Trump; Donald J.,,1252401,,0.49,W
19,P00003392,Arizona,AZ,Clinton; Hillary,,1161167,,0.45,
20,P20002671,Arizona,AZ,Johnson; Gary,,106327,,0.04,
21,P20003984,Arizona,AZ,Stein; Jill,,34345,,0.01,
22,P60022654,Arizona,AZ,McMullin; Evan,,17449,,0.01,
23,P60021102,Arizona,AZ,Castle; Darrell ,,1058,,0,
24,P20005260,Arizona,AZ,Hoefling; Tom ,,85,,0,
25,P60016623,Arizona,AZ,Smith; Mike,,62,,0,
26,P60020757,Arizona,AZ,Buchanan; Robert L.,,56,,0,
27,P20004511,Arizona,AZ,Kotlikoff; Laurence,,52,,0,
28,P80000268,Arizona,AZ,Carter; Willie Felix,,42,,0,
29,P60016342,Arizona,AZ,"De La Fuente; ""Rocky"" Roque",,29,,0,
30,P60023322,Arizona,AZ,In-Albon; Mitchell,,24,,0,
31,P60018249,Arizona,AZ,Maldonado; Joseph,,20,,0,
32,P60005303,Arizona,AZ,Fox; Cherunda,,14,,0,
33,P20002630,Arizona,AZ,"Tittle; Sheila ""Samm""",,12,,0,
34,n/a,Arizona,AZ,Hartnell; Ben,,11,,0,
35,n/a,Arizona,AZ,Schoenke; Marshall,,4,,0,
36,P60021631,Arizona,AZ,Steinacker; Delano,,4,,0,
37,n/a,Arizona,AZ,Corsetti; Michael,,3,,0,
38,n/a,Arizona,AZ,,Total State Votes:,,2573165,,
39,n/a,Arizona,AZ,,,,,,
40,P80001571,Arkansas,AR,Trump; Donald J.,,684872,,0.61,W
41,P00003392,Arkansas,AR,Clinton; Hillary,,380494,,0.34,
42,P20002671,Arkansas,AR,Johnson; Gary,,29949,,0.03,
43,P60022654,Arkansas,AR,McMullin; Evan ,,13176,,0.01,
44,P20003984,Arkansas,AR,Stein; Jill,,9473,,0.01,
45,P60017340,Arkansas,AR,Hedges; Jim,,4709,,0,
46,P60021102,Arkansas,AR,Castle; Darrell L.,,4613,,0,
47,P60005808,Arkansas,AR,Kahn; Lynn S.,,3390,,0,
48,n/a,Arkansas,AR,,Total State Votes:,,1130676,,
49,n/a,Arkansas,AR,,,,,,
50,P00003392,California,CA,Clinton; Hillary,,8753792,,0.62,W
51,P80001571,California,CA,Trump; Donald J.,,4483814,,0.32,
52,P20002671,California,CA,Johnson; Gary,,478500,,0.03,
53,P20003984,California,CA,Stein; Jill,,278658,,0.02,
54,P60007168,California,CA,"Sanders; Bernard ""Bernie""",,79341,,0.01,
55,P80005572,California,CA,La Riva; Gloria Estela,,66101,,0,
56,P60022654,California,CA,McMullin; Evan ,,39596,,0,
57,P60022787,California,CA,Maturen; Mike,,1316,,0,
58,P20004511,California,CA,Kotlikoff; Laurence,,402,,0,
59,P20004677,California,CA,White; Jerry,,84,,0,
60,n/a,California,CA,,Total State Votes:,,14181604,,
61,n/a,California,CA,,,,,,
62,P00003392,Colorado,CO,Clinton; Hillary,,1338870,,0.48,W
63,P80001571,Colorado,CO,Trump; Donald J.,,1202484,,0.43,
64,P20002671,Colorado,CO,Johnson; Gary,,144121,,0.05,
65,P20003984,Colorado,CO,Stein; Jill,,38437,,0.01,
66,P60022654,Colorado,CO,McMullin; Evan,,28917,,0.01,
67,P60021102,Colorado,CO,Castle; Darrell L.,,11699,,0,
68,P60009917,Colorado,CO,Keniston; Chris,,5028,,0,
69,P60016623,Colorado,CO,Smith; Mike,,1819,,0,
70,P60016342,Colorado,CO,"De La Fuente; ""Rocky"" Roque",,1255,,0,
71,P60015419,Colorado,CO,Kopitke; Kyle Kenley,,1096,,0,
72,P60018249,Colorado,CO,Maldonado; Joseph Allen,,872,,0,
73,P60022787,Colorado,CO,Maturen; Michael A.,,862,,0,
74,P60017035,Colorado,CO,Silva; Rod,,751,,0,
75,n/a,Colorado,CO,Scott; Ryan Alan,,749,,0,
76,P20005260,Colorado,CO,Hoefling; Tom ,,710,,0,
77,P80005572,Colorado,CO,La Riva; Gloria Estela,,531,,0,
78,P80005473,Colorado,CO,Kennedy; Alyson,,452,,0,
79,P20004511,Colorado,CO,Kotlikoff; Laurence,,392,,0,
80,P60023504,Colorado,CO,Lyttle; Bradford,,382,,0,
81,P60023496,Colorado,CO,Atwood; Frank,,337,,0,
82,P60018017,Colorado,CO,Soltysik; Emidio,,271,,0,
83,P60017340,Colorado,CO,Hedges; James,,185,,0,
84,n/a,Colorado,CO,Perry; David,,11,,0,
85,n/a,Colorado,CO,Sterner; Corey,,6,,0,
86,P60020617,Colorado,CO,Perry; Brian Anthony,,4,,0,
87,n/a,Colorado,CO,Lohmiller; Bruce,,3,,0,
88,P60005303,Colorado,CO,Fox; Cherunda,,2,,0,
89,n/a,Colorado,CO,Nieman; Thomas J.,,1,,0,
90,n/a,Colorado,CO,,Total State Votes:,,2780247,,
