1,FEC ID,STATE,STATE ABBREVIATION,LAST NAME;  FIRST,TOTAL VOTES,GENERAL RESULTS,TOTAL VOTES #,GENERAL %
505,P60004454,Washington,WA,Harris; James E.,,641,,0
506,n/a,Washington,WA,,Total State Votes: ,3036878,3036878,
507,P80002801,West Virginia,WV,McCain; John Sidney; III,,397466,,0.56
508,P80003338,West Virginia,WV,Obama; Barack Hussein,,303857,,0.43
509,P20000527,West Virginia,WV,Nader; Ralph,,7219,,0.01
510,P80005499,West Virginia,WV,Baldwin; Charles Obadiah,,2465,,0
511,P80004930,West Virginia,WV,McKinney; Cynthia Ann,,2355,,0
512,n/a,West Virginia,WV,Claus; Santa,,59,,0
513,n/a,West Virginia,WV,Rice; David L.,,18,,0
514,P80003528,West Virginia,WV,Allen; Donald K.,,4,,0
515,P80005002,West Virginia,WV,Brown; Robert,,3,,0
516,P80004419,West Virginia,WV,"Railey; Charles G. ""Bud""",,3,,0
517,n/a,West Virginia,WV,Hobbs; Ron,,1,,0
518,n/a,West Virginia,WV,Moore; Frank,,1,,0
519,n/a,West Virginia,WV,,Total State Votes: ,713451,713451,
520,P80003338,Wisconsin,WI,Obama; Barack,,1677211,,0.56
521,P80002801,Wisconsin,WI,McCain; John,,1262393,,0.42
522,P20000527,Wisconsin,WI,Nader; Ralph,,17605,,0.01
523,P80005580,Wisconsin,WI,Barr; Bob,,8858,,0
524,n/a,Wisconsin,WI,Scattered ,,6521,,0
525,P80005499,Wisconsin,WI,Baldwin; Chuck,,5072,,0
526,P80004930,Wisconsin,WI,McKinney; Cynthia,,4216,,0
527,n/a,Wisconsin,WI,Wamboldt; Jeffrey J.,,764,,0
528,P80005275,Wisconsin,WI,Moore; Brian,,540,,0
529,P80005572,Wisconsin,WI,La Riva; Gloria,,237,,0
530,n/a,Wisconsin,WI,,Total State Votes: ,2983417,2983417,
531,P80002801,Wyoming,WY,McCain; John,,164958,,0.65
532,P80003338,Wyoming,WY,Obama; Barack,,82868,,0.33
533,P20000527,Wyoming,WY,Nader; Ralph,,2525,,0.01
534,P80005580,Wyoming,WY,Barr; Bob,,1594,,0.01
535,n/a,Wyoming,WY,Scattered ,,1521,,0.01
536,P80005499,Wyoming,WY,Baldwin; Chuck,,1192,,0
537,n/a,Wyoming,WY,,Total State Votes: ,254658,254658,
